iter	Accuracy	MultiClass
741	0.7917488884	0.5033207593
742	0.7918278212	0.5032770559
743	0.7918672876	0.5032418473
744	0.7918935985	0.5032203835
745	0.7919988423	0.5031568806
746	0.7920909306	0.5030882067
747	0.7919725314	0.5030402229
748	0.7919856868	0.5028382798
749	0.7921830189	0.5027436318
750	0.7922751072	0.5026956532
751	0.7922619517	0.5024897824
752	0.7922356408	0.5024553861
753	0.7921830189	0.502385084
754	0.7922224853	0.5022333255
755	0.7922882627	0.5022069359
756	0.7922224853	0.5021534809
757	0.7922356408	0.5021065261
758	0.7923935065	0.5020595722
759	0.7924592838	0.5019262081
760	0.7924461283	0.50185837
761	0.7925250612	0.5017949489
762	0.7924855948	0.5017397744
763	0.7925382166	0.5017219722
764	0.7924987502	0.5016776746
765	0.7927092378	0.5015486892
766	0.7926697714	0.5015287081
767	0.7926829268	0.5014960272
768	0.7927355487	0.501436321
769	0.7927881706	0.5013935337
770	0.7927618597	0.5013401571
771	0.7929591917	0.5012724364
772	0.79305128	0.5011777831
773	0.7931433683	0.5011273259
774	0.7931170574	0.5010632061
775	0.7929986581	0.5007227277
776	0.7929855027	0.5006787156
777	0.7930644355	0.5005957588
778	0.7930907464	0.5005461348
779	0.7932354566	0.5004276648
780	0.7932354566	0.5003807781
781	0.7932880785	0.5002742019
782	0.793301234	0.5002486273
783	0.7932880785	0.5002224781
784	0.793301234	0.5001817037
785	0.7932880785	0.5001421439
786	0.7933670113	0.5001160923
787	0.7934064778	0.5000643539
788	0.7934590996	0.5000108718
789	0.7935380325	0.4999772638
790	0.7934327887	0.4999251784
791	0.7934854106	0.4998723546
792	0.793524877	0.4998436373
793	0.793524877	0.4998101582
794	0.7937353645	0.4997181122
795	0.7936958981	0.499599747
796	0.7937616755	0.4994969061
797	0.7937090536	0.4994483027
798	0.7939195411	0.4993571252
799	0.7939590076	0.4993075884
800	0.793998474	0.4992492936
801	0.7940642513	0.4992138258
802	0.7940774068	0.4991551158
803	0.7940905623	0.4991316335
804	0.7941694951	0.4991037078
805	0.7941826506	0.4990369515
806	0.7942352724	0.4989869518
807	0.7943010498	0.4989267232
808	0.7943536717	0.4988998223
809	0.7943536717	0.4988514313
810	0.7943273607	0.4988076991
811	0.7942615834	0.4987717316
812	0.7942747389	0.4987436553
813	0.7943273607	0.4986768465
814	0.7943931381	0.4985880852
815	0.7945246928	0.4985311085
816	0.7943931381	0.4984753789
817	0.7946562475	0.4983645925
818	0.7946430921	0.4983046392
819	0.7946957139	0.498254378
820	0.7947614913	0.4981914927
821	0.7946562475	0.498127922
822	0.7947088694	0.4980588103
823	0.7946299366	0.4980068706
824	0.7946562475	0.4979339183
825	0.7946299366	0.4978715289
826	0.7946430921	0.4978246465
827	0.7947220249	0.4977639708
828	0.7947351804	0.4977204466
829	0.7948667351	0.4976806348
830	0.7948667351	0.4976653531
831	0.7948009577	0.4976317235
832	0.7948667351	0.4975041078
833	0.7949588234	0.4974679111
834	0.7950114453	0.4974341694
835	0.7949719788	0.4972939823
836	0.7949456679	0.4971536196
837	0.7950114453	0.4971075743
838	0.7950114453	0.4970710639
839	0.7950509117	0.4970082035
840	0.795116689	0.4969382065
841	0.7951956219	0.4968320239
842	0.795143	0.4967736339
843	0.7951956219	0.4967149304
844	0.7951824664	0.4966867915
845	0.7952350883	0.4966328309
846	0.7952877102	0.4965380219
847	0.7953140211	0.4964847219
848	0.795366643	0.4964082951
849	0.7955113532	0.4963194211
850	0.7955771305	0.4962437507
851	0.7956165969	0.4962122714
852	0.7956165969	0.4961246458
853	0.7957086852	0.496081644
854	0.7957876181	0.495926299
855	0.7957086852	0.495869177
856	0.7956955298	0.4958172479
857	0.7957744626	0.4957747029
858	0.795813929	0.4957036515
859	0.7959060173	0.495675073
860	0.7959454837	0.495619078
861	0.7958928618	0.495493508
862	0.7960244166	0.4954190974
863	0.7960901939	0.4953686276
864	0.7960244166	0.4953155167
865	0.7960507275	0.4952484182
866	0.7961033494	0.4951883807
867	0.7961691267	0.4950862942
868	0.7961691267	0.4950217569
869	0.7962085932	0.4949694607
870	0.7962085932	0.4949471136
871	0.7961954377	0.4948705349
872	0.7962217486	0.4948435784
873	0.7962349041	0.494788593
874	0.7962480596	0.4947271185
875	0.7963269924	0.4946196411
876	0.796287526	0.4945896545
877	0.7963138369	0.4945121217
878	0.7962743705	0.4944620597
879	0.7962743705	0.4943713215
880	0.7963006815	0.4943489962
